Time,Trace_vel,Backaz,MdCCM,Sigma_tau,datetime,airt_c_avg,nearest_met_time,met_time_difference_s,vel_corrected_5C,label,Pressure,Duration_seconds
20321.883379629628,0.3302460143775619,333.856742359605,0.9320911654366916,0.0074322275205461,2025-08-21 21:12:04.000000,2.807,2023-05-06 12:15:00,236.0,0.3315556320994232,Glacier,0.5007455574335876,20.0
19295.35365740741,0.3255952431913976,332.46681736198576,0.4681736821273148,0.0100382046489569,2022-10-30 08:29:16.000000,0.917,2024-02-18 20:30:00,192.0,0.32801160599763823,Glacier,0.07557423123484636,20.0
19553.42027777778,0.3282855538619652,331.3821847023423,0.8034621885742896,0.0054775935462859,2023-07-15 10:05:12.000000,-0.62,2024-10-30 11:15:00,-396.0,0.33165316497686964,Glacier,0.0893614771068049,20.0
19559.24296296297,0.3262387339095405,331.0682526029144,0.8710428811688441,0.0056962840715926,2023-07-21 05:49:52.000000,-0.083,2024-11-06 10:45:00,-244.0,0.3292611158125473,Glacier,0.27633248866174,20.0
19552.08365740741,0.3266427993821502,329.1601078378331,0.7601802876839322,0.0082773402608085,2023-07-14 02:00:28.000000,0.44,2024-10-29 04:00:00,-404.0,0.32935367316187625,Glacier,0.18984739270126696,20.0
20041.938796296297,0.322332677990665,329.36735830692265,0.7813541192008433,0.0081838832451739,2024-11-14 22:31:52.000000,-5.828,2026-03-23 21:30:00,436.0,0.3287959941219404,Glacier,0.14140440640519927,20.0
19587.336296296296,0.3284333448169306,330.8464079399686,0.4832895591818519,0.0068553423780296,2023-08-18 08:04:16.000000,0.293,2025-01-17 18:00:00,-116.0,0.3312480805004647,Glacier,0.17729855453282567,20.0
20009.745601851853,0.3224520445925894,327.1758221289696,0.7819305359548597,0.0076394996463083,2024-10-13 17:53:40.000000,-5.992,2026-02-22 03:00:00,12.0,0.3290186949353211,Glacier,0.3352360077081054,20.0
19973.69351851852,0.3256023378564577,331.0507167586171,0.4540723232595643,0.0058686803431914,2024-09-07 16:38:40.000000,0.264,2026-01-16 13:15:00,204.0,0.32841022651324453,Glacier,0.0601625706589636,20.0
20337.46240740741,0.3299589402516472,326.536715647131,0.7685595044821261,0.007644077033593,2025-09-06 11:05:52.000000,3.035,2023-05-23 00:45:00,408.0,0.3311306551313998,Glacier,0.11594159791209109,20.0
20001.27476851852,0.3262387339095405,331.0682526029144,0.6991066283013582,0.0056962840715926,2024-10-05 06:35:40.000000,-3.352,2026-02-13 15:15:00,-128.0,0.33124985143406754,Glacier,1.2958601381826789,20.0
20006.128703703704,0.3246201383056278,332.83005508101127,0.5175435200656271,0.0046271856146771,2024-10-10 03:05:20.000000,-7.188,2026-02-18 12:00:00,440.0,0.3319748593084049,Glacier,0.021124995605083213,20.0
19553.52296296296,0.3278575513237569,332.283506056393,0.9647684393674436,0.0082101264554515,2023-07-15 12:33:04.000000,0.57,2024-10-30 13:30:00,-32.0,0.3304999951195019,Glacier,0.7256075274289897,20.0
19663.414027777777,0.3268149978082495,327.41596060694803,0.7765693299543872,0.0051653207183977,2023-11-02 09:56:12.000000,1.647,2025-03-29 14:45:00,-232.0,0.3288028074078228,Glacier,0.06876758391383522,20.0
19990.77060185185,0.3262387339095405,331.0682526029144,0.810935790085929,0.0056962840715926,2024-09-24 18:29:40.000000,1.489,2026-02-02 22:30:00,-248.0,0.328317438350525,Glacier,0.15566305921308793,20.0
